TABLE 2,,,,,,,,,,,,,,,,
CONGO (KINSHASA): STRUCTURE OF THE MINERAL INDUSTRY IN 2008,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(Metric tons unless otherwise specified),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Major operating companies,,,,,,,,,,,,,
Commodity,,, and major equity owners,,Location of main facilities,Annual capacity,,,,,,,,,,
Cement,,,Cimenterie de Lukala [Enterprise Malta ,,Lukala plant near Kinshasa,"360,000.",,,,,,,,,,
,,,"Forrest SPRL (EGMF), 80%]",,,,,,,,,,,,,
Do.,,,Interlacs [Enterprise Malta Forrest SPRL,,Kabimba plant near Lubumbashi,"50,000.",,,,,,,,,,
,,,"(EGMF), 98.7%]",,,,,,,,,,,,,
Do.,,,do. ,,Katana plant in Sud-Kivu Province1,NA.,,,,,,,,,,
Do.,,,Cimenterie Nationale SARL,,"Kimpese plant, 40 kilometers south of Kinshasa","318,000.",,,,,,,,,,
Do.,,,Cemenkat [Enterprise Malta Forrest SPRL ,,"Lubudi plant, between Likasi and Kolwezi, ","200,000.",,,,,,,,,,
,,,"(EGMF), and La Générale des Carrières et ",,Katanga Province,,,,,,,,,,,
,,,des Mines (Gécamines)],,,,,,,,,,,,,
Coal,,,La Générale des Carrières et des Mines (Gécamines),,Luena Mine,"800,000 bituminous.",,,,,,,,,,
Copper and cobalt:,,,,,,,,,,,,,,,,
Mine,,,do. ,,Kamfundwa Mine,"400,000 copper in ore;",,,,,,,,,,
,,,,,,"48,000 cobalt in ore.",,,,,,,,,,
Do.,,,do. ,,Kamoya Central Mine,"79,000 copper in ore;",,,,,,,,,,
,,,,,,"7,000 cobalt in ore.",,,,,,,,,,
Do.,,,do. ,,Kamoya South Mine,"36,000 copper in ore;",,,,,,,,,,
,,,,,,"11,000 cobalt in ore.",,,,,,,,,,
Do.,,,do. ,,Shangalowe Mine,NA.,,,,,,,,,,
Do.,,,do. ,,Kambove concentrator,"700,000 concentrates;",,,,,,,,,,
,,,,,,"130,000e copper;",,,,,,,,,,
,,,,,,"39,000e cobalt.",,,,,,,,,,
Do.,,,First Quantum Minerals Ltd.,,Frontier Mine,"84,000 copper.",,,,,,,,,,
Do.,,,do. ,,Lonshi Mine in Katanga Province,"50,000 copper.",,,,,,,,,,
Do.,,,Katanga Mining Ltd.,,KTO and T17 Mines ,"46,000e copper;",,,,,,,,,,
,,,,,,"4,000e cobalt.",,,,,,,,,,
Do.,,,do. ,,Kananga Mine,"14,000e copper in ore;",,,,,,,,,,
,,,,,,"7,000e cobalt in ore.",,,,,,,,,,
Do.,,,do. ,,Tilwezembe Mine1,"13,000e copper in ore;",,,,,,,,,,
,,,,,,"4,000e cobalt in ore.",,,,,,,,,,
Do.,,,Anvil Mining Ltd.,,Kinsevere Mine1,"26,000 copper.",,,,,,,,,,
Do.,,,do. ,,Dikulushi Mine1 ,"20,000 copper.",,,,,,,,,,
Do.,,,do. ,,Mutoshi Mine1,"16,500 copper.",,,,,,,,,,
Do.,,,Central African Mining and Exploration ,,Kakanda concentrator1,"60,000 copper;",,,,,,,,,,
,,,Company plc (CAMEC),,,"5,000 cobalt.",,,,,,,,,,
Do.,,,Chemaf SPRL,,Etoile Mine,"16,000e copper in ore;",,,,,,,,,,
,,,,,,"3,300e cobalt in ore.",,,,,,,,,,
Do.,,,Compagnie Minière du Sud Katanga ,,Luiswishi Mine near Lubumbashi1,"12,000 copper; ",,,,,,,,,,
,,,[Enterprise Generale Malta Forrest SPRL ,,,"4,500 cobalt.",,,,,,,,,,
,,,"(EGMF), 60%, and La Générale des",,,,,,,,,,,,,
,,," Carrières et des Mines (Gécamines), 40%]",,,,,,,,,,,,,
Do.,,,"Ruashi Mining SPRL (Metorex Ltd., 80%)",,Ruashi tailings project,"10,000 copper;",,,,,,,,,,
,,,,,,"1,000 cobalt.",,,,,,,,,,
Do.,,,TEAL Exploration and Mining Inc.,,Kalumines,"10,000 copper.",,,,,,,,,,
Do.,,,La Société pour le Traitement du Terril de ,,Big Hill plant at Lubumbashi,"2,500 copper;",,,,,,,,,,
,,,"Lubumbashi (STL) [OM Group Inc., 55%; ",,,"5,000 cobalt.",,,,,,,,,,
,,,Enterprise Generale Malta Forrest SPRL ,,,,,,,,,,,,,
,,,"(EGMF), 25%; La Générale des Carrières ",,,,,,,,,,,,,
